Books	Characters	Dumping Factor	Exponent	Conductance	Baratheon	Lannister	Stark	Targaryen	Total # Members
Game of Thrones	Daenerys-Targaryen	0.95	1.0	0.07801418439716312	0	0	0	3	22
Game of Thrones	Jon-Snow	0.95	1.0	0.07913669064748201	6	6	13	5	166
Game of Thrones	Samwell-Tarly	0.95	1.0	0.07913669064748201	6	6	13	5	166
Game of Thrones	Tyrion-Lannister	0.95	1.0	0.07913669064748201	6	6	13	5	166
Clash of Kings	Daenerys-Targaryen	0.95	0.8	0.09859154929577464	0	0	0	3	18
Clash of Kings	Jon-Snow	0.95	0.8	0.08527131782945736	0	0	1	4	28
Clash of Kings	Samwell-Tarly	0.95	0.6	0.08527131782945736	0	0	1	4	28
Clash of Kings	Tyrion-Lannister	0.95	1.0	0.09865470852017937	8	6	6	6	160
Storm of Swords	Daenerys-Targaryen	0.95	0.8	0.07142857142857142	0	0	0	2	25
Storm of Swords	Jon-Snow	0.95	1.0	0.06198347107438017	0	0	1	1	74
Storm of Swords	Samwell-Tarly	0.95	1.0	0.06079664570230608	0	0	1	1	71
Storm of Swords	Tyrion-Lannister	0.95	1.0	0.07903780068728522	7	9	11	10	204
Feast for Crows	Daenerys-Targaryen	0.95	1.0	0.07157894736842105	5	8	4	11	298
Feast for Crows	Jon-Snow	0.95	1.0	0.06060606060606061	2	0	10	2	181
Feast for Crows	Samwell-Tarly	0.95	1.0	0.08624708624708624	2	0	10	2	177
Feast for Crows	Tyrion-Lannister	0.95	1.0	0.0441025641025641	5	8	4	11	286
